//Rank# PlayerName TotalLevel XPTotal
0	Bodied	739	5112447
1	Camshow	922	3943196
2	Brandon	43	3575
6	Kyon	157	35858
8	Jllo	687	4488784
9	Jllo	687	4488784
10	Jllo	687	4488784
11	Jllo	687	4488784
12	Jllo	687	4488784
13	Jllo	687	4488784
14	Todimortal	398	766914
15	Todi	299	1105359
16	Timz	296	194120
17	Its Humix	311	107468
18	Its Humix	309	104452
19	Its Humix	303	99577
20	Nightwing	238	149975
21	Its Humix	195	41448
22	Its Humix	195	41448
23	Its Humix	195	41448
24	Invert Dew	107	27417
25	Its Humix	116	15179
32	Its Humix	30	1300
.
